age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,Year
51,M,Black,Lorena,TX,False,attack,Car,False,Letal,2015
36,M,Black,Memphis,TN,False,other,Not fleeing,False,No Letal,2015
59,M,White,Chino,CA,False,other,Car,False,Letal,2015
25,M,Black,Oklahoma City,OK,False,attack,Not fleeing,False,Letal,2015
26,M,White,Calimesa,CA,False,attack,Not fleeing,False,No Letal,2015
74,M,Black,Gastonia,NC,False,attack,Not fleeing,False,Letal,2015
33,M,White,Anchorage,AK,False,attack,Car,False,Letal,2015
27,M,White,Austin,TX,False,attack,Not fleeing,False,Letal,2015
57,M,White,New City,NY,True,attack,Not fleeing,False,Letal,2015
46,M,White,Orange County,FL,False,attack,Not fleeing,False,Letal,2015
41,M,White,Nocona,TX,False,attack,Not fleeing,False,Letal,2015
61,M,White,Smyrna,ME,True,undetermined,Not fleeing,False,Letal,2015
45,M,Black,Dallas,TX,False,attack,Not fleeing,False,Letal,2015
49,M,Black,Whitehaven,TN,False,attack,Not fleeing,False,Letal,2015
45,M,White,New Castle,CO,True,attack,Car,False,Letal,2015
35,M,Hispanic,Pasco,WA,True,other,Foot,False,Unarmed,2015
23,M,Black,San Jose,CA,True,other,Not fleeing,False,No Letal,2015
46,M,White,Dadeville,AL,True,attack,Foot,True,No Letal,2015
23,M,White,San Bernardino,CA,False,attack,Car,False,No Letal,2015
21,M,Hispanic,Kansas City,KS,False,attack,Car,False,Letal,2015
35,M,Hispanic,Reading,PA,False,other,Not fleeing,False,Unarmed,2015
27,M,White,McLemoresville,TN,False,attack,Not fleeing,False,Letal,2015
37,M,Hispanic,San Manuel,AZ,True,other,Not fleeing,False,No Letal,2015
16,M,White,Essex,MD,True,attack,Car,False,Letal,2015
51,M,White,Laredo,TX,False,attack,Not fleeing,False,Letal,2015
34,M,White,Iuka,MS,False,attack,Foot,False,Letal,2015
34,M,White,Colton,OR,True,other,Not fleeing,False,No Letal,2015
25,M,Black,Miami Gardens,FL,True,other,Not fleeing,False,Unarmed,2015
56,M,White,Marana,AZ,False,attack,Not fleeing,False,Letal,2015
26,M,White,Boise,ID,False,attack,Not fleeing,False,Letal,2015
24,M,White,Provo,UT,True,attack,Not fleeing,False,No Letal,2015
43,F,White,Gaston County,NC,False,attack,Not fleeing,False,Letal,2015
31,M,White,Springfield,MO,False,other,Foot,False,Unarmed,2015
32,M,White,Eaton Rapids Township,MI,False,attack,Not fleeing,False,Letal,2015
30,M,White,Tewksbury,MA,False,attack,Foot,False,No Letal,2015
50,M,Hispanic,Del Rio,TX,False,other,Not fleeing,False,No Letal,2015
20,F,Black,Charlotte,NC,True,other,Not fleeing,False,No Letal,2015
31,M,Hispanic,Euless,TX,False,other,Not fleeing,False,Unarmed,2015
38,M,Black,Homewood,AL,False,attack,Not fleeing,False,Letal,2015
77,M,Black,Birmingham,AL,True,attack,Not fleeing,False,Letal,2015
37,M,Hispanic,Houston,TX,False,attack,Car,False,Letal,2015
41,M,White,Ruidoso,NM,False,attack,Not fleeing,False,Letal,2015
51,M,White,Indianapolis,IN,False,attack,Not fleeing,False,No Letal,2015
50,M,White,Palm Bay,FL,False,attack,Not fleeing,False,Letal,2015
47,M,White,Denham Springs,LA,True,attack,Not fleeing,False,Letal,2015
37,M,White,Powder Springs,GA,False,other,Not fleeing,False,No Letal,2015
41,M,White,Clarkesville,GA,False,attack,Foot,False,Letal,2015
16,M,Black,Millbrook,AL,False,attack,Not fleeing,False,Letal,2015
42,M,White,Allentown,PA,False,attack,Car,False,No Letal,2015
39,M,White,Omaha,NE,False,other,Not fleeing,False,Unarmed,2015
30,M,White,Green Bay,WI,True,attack,Not fleeing,False,No Letal,2015
27,M,Black,Oklahoma City,OK,False,other,Car,False,No Letal,2015
43,M,White,Las Vegas,NV,True,attack,Not fleeing,False,Letal,2015
42,M,Hispanic,Lakeland,FL,False,attack,Foot,False,Letal,2015
21,M,Hispanic,San Francisco,CA,False,other,Not fleeing,False,No Letal,2015
49,M,White,Gulfport,MS,False,other,Not fleeing,False,Unarmed,2015
34,F,White,Sylvester,GA,False,attack,Car,False,Letal,2015
31,M,White,Terre Haute,IN,False,other,Not fleeing,False,Unarmed,2015
27,M,Hispanic,Santa Ana,CA,False,undetermined,Not fleeing,False,Unarmed,2015
24,M,White,Pelzer,SC,False,attack,Not fleeing,False,Letal,2015
34,M,Black,St Louis,MO,False,other,Car,False,Unarmed,2015
28,F,Hispanic,Tucson,AZ,False,other,Not fleeing,False,No Letal,2015
28,M,Black,Columbia,MO,False,attack,Car,False,Letal,2015
40,M,Black,Tarboro,NC,True,attack,Car,False,Letal,2015
37,F,White,La Paz County,AZ,False,attack,Car,False,Letal,2015
17,M,White,Roxand Township,MI,False,attack,Not fleeing,True,Unarmed,2015
35,M,Asian,Houston,TX,False,attack,Not fleeing,False,Letal,2015
49,M,White,Barton,MS,False,attack,Not fleeing,False,Letal,2015
43,M,Black,Los Angeles,CA,True,attack,Not fleeing,True,Unarmed,2015
20,M,Black,Joilet,IL,False,other,Foot,False,Letal,2015
25,M,Black,Salisbury,MD,False,attack,Not fleeing,False,Letal,2015
25,M,White,Tempe,AZ,False,attack,Not fleeing,False,No Letal,2015
26,M,White,Deltona,FL,False,other,Not fleeing,False,Unarmed,2015
28,M,Asian,Stockton,CA,False,attack,Not fleeing,False,Letal,2015
45,M,Black,Milwaukee,WI,True,other,Not fleeing,False,No Letal,2015
36,M,Hispanic,Burbank,CA,False,other,Car,False,Unarmed,2015
34,M,White,Lincoln,NE,False,attack,Not fleeing,False,Letal,2015
19,M,Black,Madison,WI,False,attack,Foot,False,Unarmed,2015
37,M,Black,Aurora,CO,False,undetermined,Foot,False,Unarmed,2015
48,M,Black,Putnam Hall,FL,False,other,Not fleeing,False,No Letal,2015
29,M,White,Phoenix,AZ,False,attack,Not fleeing,False,Letal,2015
43,F,Black,Anaheim,CA,True,other,Not fleeing,True,No Letal,2015
40,M,Hispanic,Oklahoma City,OK,False,attack,Not fleeing,False,Letal,2015
35,M,White,Claymont,DE,False,attack,Car,False,No Letal,2015
27,M,Black,Atlanta,GA,True,other,Not fleeing,False,Unarmed,2015
58,M,White,Brevard,NC,False,attack,Not fleeing,False,Letal,2015
46,M,White,Dinosaur,CO,False,attack,Not fleeing,False,Letal,2015
30,M,Black,Cocoa,FL,False,attack,Not fleeing,False,Letal,2015
